,date,article1,article2,article3,url1,url2,url3
4,2022-07-07,Top 10 Stock Picks of Felix Wai’s Zeno Research,"Wall Street Likes These 3 Entertainment Stocks, but are They Worth Buying?",Retirement Systems of Alabama Has $12.66 Million Stock Holdings in Six Flags Entertainment Co. (NYSE:SIX),https://www.insidermonkey.com/blog/top-10-stock-picks-of-felix-wais-zeno-research-1050003/,https://www.entrepreneur.com/article/430796,https://www.etfdailynews.com/2022/07/04/retirement-systems-of-alabama-has-12-66-million-stock-holdings-in-six-flags-entertainment-co-nysesix/
5,2022-07-08,"A DOUBLE DIP OF YUM + FUN: TILLAMOOK® ICE CREAM NAMED ""OFFICIAL SCOOPABLE ICE CREAM"" OF SIX FLAGS THEME PARKS",Top 10 Stock Picks of Felix Wai’s Zeno Research,"Wall Street Likes These 3 Entertainment Stocks, but are They Worth Buying?",https://www.prnewswire.com:443/news-releases/a-double-dip-of-yum--fun-tillamook-ice-cream-named-official-scoopable-ice-cream-of-six-flags-theme-parks-301582538.html,https://www.insidermonkey.com/blog/top-10-stock-picks-of-felix-wais-zeno-research-1050003/,https://www.entrepreneur.com/article/430796
24,2022-08-04,Six Flags Entertainment Co. (NYSE:SIX) Given Consensus Rating of “Moderate Buy” by Analysts,Six Flags Entertainment Co. (NYSE:SIX) Shares Sold by State of New Jersey Common Pension Fund D,Disney Theme Park Rival Launches New Thrill Ride,https://www.etfdailynews.com/2022/08/03/six-flags-entertainment-co-nysesix-given-consensus-rating-of-moderate-buy-by-analysts/,https://www.etfdailynews.com/2022/08/02/six-flags-entertainment-co-nysesix-shares-sold-by-state-of-new-jersey-common-pension-fund-d/,https://www.thestreet.com/investing/disney-rival-launches-new-thrill-ride
32,2022-08-16,Qube Research & Technologies Ltd Buys New Holdings in Six Flags Entertainment Co. (NYSE:SIX),Six Flags Entertainment (NYSE:SIX) Price Target Cut to $20.00 by Analysts at Truist Financial,Six Flags Entertainment (NYSE:SIX) Cut to “Sector Weight” at KeyCorp,https://www.etfdailynews.com/2022/08/15/qube-research-technologies-ltd-buys-new-holdings-in-six-flags-entertainment-co-nysesix/,https://www.etfdailynews.com/2022/08/15/six-flags-entertainment-nysesix-price-target-cut-to-20-00-by-analysts-at-truist-financial/,https://www.etfdailynews.com/2022/08/15/six-flags-entertainment-nysesix-cut-to-sector-weight-at-keycorp/
34,2022-08-18,Credit Suisse Group Lowers Six Flags Entertainment (NYSE:SIX) Price Target to $44.00,"Six Flags Entertainment Co. (NYSE:SIX) Major Shareholder Rehan Jaffer Purchases 275,000 Shares",Russell Investments Group Ltd. Increases Position in Six Flags Entertainment Co. (NYSE:SIX),https://www.etfdailynews.com/2022/08/16/credit-suisse-group-lowers-six-flags-entertainment-nysesix-price-target-to-44-00/,https://www.etfdailynews.com/2022/08/16/six-flags-entertainment-co-nysesix-major-shareholder-rehan-jaffer-purchases-275000-shares/,https://www.etfdailynews.com/2022/08/16/russell-investments-group-ltd-increases-position-in-six-flags-entertainment-co-nysesix/
44,2022-09-01,Handelsbanken Fonder AB Cuts Position in Six Flags Entertainment Co. (NYSE:SIX),SeaWorld: Boosted Revenues And Excitement For Halloween Season (NYSE:SEAS),Six Flags Entertainment Co. (NYSE:SIX) Forecasted to Earn Q3 2022 Earnings of $1.74 Per Share,https://www.etfdailynews.com/2022/08/31/handelsbanken-fonder-ab-cuts-position-in-six-flags-entertainment-co-nysesix/,https://seekingalpha.com/article/4537757-seaworld-boosted-revenues-and-excitement-for-halloween-season,https://www.etfdailynews.com/2022/08/29/six-flags-entertainment-co-nysesix-forecasted-to-earn-q3-2022-earnings-of-1-74-per-share/
51,2022-09-12,Six Flags Entertainment Co. (NYSE:SIX) Shares Purchased by Graham Capital Management L.P.,Six Flags Entertainment Co. (NYSE:SIX) Shares Bought by Acadian Asset Management LLC,Six Flags: A Stock To Avoid (NYSE:SIX),https://www.etfdailynews.com/2022/09/11/six-flags-entertainment-co-nysesix-shares-purchased-by-graham-capital-management-l-p/,https://www.etfdailynews.com/2022/09/08/six-flags-entertainment-co-nysesix-shares-bought-by-acadian-asset-management-llc/,https://seekingalpha.com/article/4539604-six-flags-a-stock-to-avoid
60,2022-09-23,Verition Fund Management LLC Increases Stock Holdings in Six Flags Entertainment Co. (NYSE:SIX),Six Flags Entertainment Co. (NYSE:SIX) Given Average Recommendation of “Moderate Buy” by Brokerages,Two Fun Stocks The Insiders Are Buying,https://www.etfdailynews.com/2022/09/22/verition-fund-management-llc-increases-stock-holdings-in-six-flags-entertainment-co-nysesix/,https://www.etfdailynews.com/2022/09/22/six-flags-entertainment-co-nysesix-given-average-recommendation-of-moderate-buy-by-brokerages/,https://www.entrepreneur.com/article/435803
63,2022-09-28,Six Flags Executive Elected to IAAPA Board,Stifel Nicolaus Increases Six Flags Entertainment (NYSE:SIX) Price Target to $30.00,Six Flags Entertainment (NYSE:SIX) Shares Up 3.8% on Analyst Upgrade,https://www.marketscreener.com/quote/stock/SIX-FLAGS-ENTERTAINMENT-C-5371870/news/Six-Flags-Executive-Elected-to-IAAPA-Board-41871204/,https://www.etfdailynews.com/2022/09/27/stifel-nicolaus-increases-six-flags-entertainment-nysesix-price-target-to-30-00/,https://www.etfdailynews.com/2022/09/27/six-flags-entertainment-nysesix-shares-up-3-8-on-analyst-upgrade/
67,2022-10-03,Six Flags Entertainment (NYSE:SIX) Sets New 52-Week Low at $17.81,"Cambridge Investment Research Advisors Inc. Buys 68,520 Shares of Six Flags Entertainment Co. (NYSE:SIX)",Cambridge Investment Research Advisors Inc. Boosts Holdings in Six Flags Entertainment Co. (NYSE:SIX),https://www.etfdailynews.com/2022/10/01/six-flags-entertainment-nysesix-sets-new-52-week-low-at-17-81/,https://www.etfdailynews.com/2022/09/28/cambridge-investment-research-advisors-inc-buys-68520-shares-of-six-flags-entertainment-co-nysesix/,https://www.etfdailynews.com/2022/09/28/cambridge-investment-research-advisors-inc-boosts-holdings-in-six-flags-entertainment-co-nysesix/
